BROADWAY,WEST 175 ST,444.0
BROADWAY,WEST 60 STREET,424.0
5 AVENUE,24 STREET,444.0
BROADWAY,GRANITE STREET,326.0
PITT STREET,DELANCEY STREET,125.0
AVENUE M,EAST 45 STREET,326.0
11 AVENUE,WEST 27 STREET,125.0
HUNGRY HARBOR RD,148th ST,204.0
MARYLAND RD,DOUGLASTON PKWY,424.0
JAMAICA AVE,197 STREET,125.0
CROSS BRONX EXPRESSWAY,MARMION AVENUE,125.0
3 AVENUE,EAST 12 STREET,125.0
CATON AVE,E 18th ST,326.0
32nd AVE,85th ST,125.0
FLATBUSH AVE,CATON AVE,424.0
BRINKERHOFF AVE,111 AVE,444.0
ATLANTIC AVE,97th ST,218.0
GRAND CONCOURSE_SERV,EAST 172 STREET,869.0
10 AVENUE,WEST 45 STREET,326.0
OCEAN AVENUE,FARRAGUT ROAD,444.0
LIBERTY AVE,98th ST,424.0
AVENUE OF THE AMERICAS,WEST 45 STREET,869.0
LINDEN BLVD,198 STREET,326.0
UNDERHILL AVE,53 AVE,125.0
4 AVENUE,68 STREET,869.0
2 AVE,EAST 99 ST,218.0
34th AVE,92nd ST,281.0
WALTHAM STREET,101 AVE,218.0
E 4TH ST,BROADWAY,424.0
ALBANY AVE,MIDWOOD ST,444.0
LIBERTY AVE,BRISBIN STREET,218.0
LINDEN BOULEVARD,AUTUMN AVENUE,125.0
60 STREET,11 AVENUE,281.0
LIBERTY AVE,101 AVE,204.0
MESEROLE STREET,LEONARD  ST,444.0
AMSTERDAM AVE,WEST 147 ST,204.0
JAMAICA AVENUE,AUTUMN AVENUE,204.0
CHURCH AVE,E 37th ST,444.0
164 STREET,67 AVE,125.0
AVE P,W 10th ST,204.0
8 AVENUE,HORATIO STREET,281.0
SPRING STREET,BROADWAY,218.0
GOWANUS EXPRESSWAY,29 STREET,326.0
WADSWORTH AVENUE,WEST 188 STREET,869.0
KINGS HIGHWAY,AVENUE I,204.0
HUTCHINSON RIVER PKWY,LAURIE AVENUE,204.0
JEWEL AVE,136 STREET,424.0
JAMAICA AVE,CARPENTER AVE,869.0
WEST 155 ST,ST NICHOLAS AVE,125.0
5 AVENUE,WEST 59 STREET,326.0
CANAL STREET,BROADWAY,326.0
8 AVE,WEST 148 ST,869.0
ATLANTIC AVE,CLASSON AVE,281.0
AVE M,E 15th ST,326.0
BEDFORD AVE,AVE R,326.0
39 STREET,12 AVENUE,444.0
EAST 165 STREET,CARROLL PLACE,326.0
2 AVENUE,EAST 59 STREET,326.0
ALBANY AVENUE,FARRAGUT ROAD,444.0
CROPSEY AVE,27th AVE,204.0
7 AVENUE,WEST 27 STREET,204.0
UNION STREET,37 AVE,204.0
BROADWAY,WEST 74 STREET,204.0
9 AVENUE,WEST 45 STREET,444.0
AVENUE OF AMERICAS,WEST 11 STREET,326.0
PROSPECT PARK WEST,2 STREET,281.0
CENTRAL PARK WEST,WEST 61 STREET,204.0
CROSS ISLAND PKWY SR,107 AVENUE,424.0
AVE U,E 16th ST,424.0
51 STREET,13 AVENUE,326.0
